interval,time,perf_count,iolog_count
0.05,29.35,265,13
0.05,29.400000000000002,263,11
0.05,29.450000000000003,270,17
0.05,29.5,271,14
0.05,29.55,276,20
0.05,29.6,261,14
0.05,29.650000000000002,275,18
0.05,29.700000000000003,264,13
0.05,29.75,268,10
0.05,29.8,270,12
0.05,29.85,264,16
0.05,29.900000000000002,259,10
0.05,29.950000000000003,257,15
0.05,30.0,261,19
0.05,30.05,273,16
0.05,30.1,270,11
0.05,30.150000000000002,263,15
0.05,30.200000000000003,275,14
0.05,30.25,270,20
0.05,30.3,267,21
0.05,30.35,274,17
0.05,30.400000000000002,264,19
0.05,30.450000000000003,269,16
0.05,30.5,263,14
0.05,30.55,277,15
0.05,30.6,273,8
0.05,30.650000000000002,277,13
0.05,30.700000000000003,260,16
0.05,30.75,263,17
0.05,30.8,268,12
0.05,30.85,276,14
0.05,30.900000000000002,263,10
0.05,30.950000000000003,271,11
0.05,31.0,287,16
0.05,31.05,315,9
0.05,31.1,307,10
0.05,31.150000000000002,315,17
0.05,31.200000000000003,294,11
0.05,31.25,292,8
0.05,31.3,289,10
0.05,31.35,290,12
0.05,31.400000000000002,298,4
0.05,31.450000000000003,304,14
0.05,31.5,297,14
0.05,31.55,291,15
0.05,31.6,307,12
0.05,31.650000000000002,314,13
0.05,31.700000000000003,321,15
0.05,31.75,306,12
0.05,31.8,303,11
0.05,31.85,314,7
0.05,31.900000000000002,324,8
0.05,31.950000000000003,314,11
0.05,32.0,308,12
0.05,32.050000000000004,314,14
0.05,32.1,309,12
0.05,32.15,326,7
0.05,32.2,308,18
0.05,32.25,327,12
0.05,32.300000000000004,323,11
0.05,32.35,320,11
0.05,32.4,319,11
0.05,32.45,312,12
0.05,32.5,323,7
0.05,32.550000000000004,336,10
0.05,32.6,314,8
0.05,32.65,334,7
0.05,32.7,322,11
0.05,32.75,321,10
0.05,32.800000000000004,317,9
0.05,32.85,314,9
0.05,32.9,326,12
0.05,32.95,299,14
0.05,33.0,287,11
0.05,33.050000000000004,305,11
0.05,33.1,323,61
0.05,33.15,333,73
0.05,33.2,309,63
0.05,33.25,315,38
0.05,33.300000000000004,297,24
0.05,33.35,301,28
0.05,33.4,326,26
0.05,33.45,322,29
0.05,33.5,329,33
0.05,33.550000000000004,330,23
0.05,33.6,328,21
0.05,33.65,321,20
0.05,33.7,323,15
0.05,33.75,321,23
0.05,33.800000000000004,313,16
0.05,33.85,313,14
0.05,33.9,333,13
0.05,33.95,328,16
0.05,34.0,316,17
0.05,34.050000000000004,321,12
0.05,34.1,331,13
0.05,34.15,321,15
0.05,34.2,325,26
0.05,34.25,337,21
0.05,34.300000000000004,319,25
0.05,34.35,322,30
0.05,34.4,314,22
0.05,34.45,316,11
0.05,34.5,308,16
0.05,34.550000000000004,319,18
0.05,34.6,301,18
0.05,34.65,335,16
0.05,34.7,320,17
0.05,34.75,340,14
0.05,34.800000000000004,321,18
0.05,34.85,334,27
0.05,34.9,318,33
0.05,34.95,322,18
0.05,35.0,310,34
0.05,35.050000000000004,313,26
0.05,35.1,325,23
0.05,35.15,322,17
0.05,35.2,326,14
0.05,35.25,339,21
0.05,35.300000000000004,320,22
0.05,35.35,315,23
0.05,35.4,324,20
0.05,35.45,333,11
0.05,35.5,324,21
0.05,35.550000000000004,342,13
0.05,35.6,333,8
0.05,35.65,358,10
0.05,35.7,346,15
0.05,35.75,351,15
0.05,35.800000000000004,346,26
0.05,35.85,357,43
0.05,35.9,352,31
0.05,35.95,345,30
0.05,36.0,334,29
0.05,36.050000000000004,336,20
0.05,36.1,346,15
0.05,36.15,345,24
0.05,36.2,332,25
0.05,36.25,341,12
0.05,36.300000000000004,311,39
0.05,36.35,334,49
0.05,36.4,334,58
0.05,36.45,345,15
0.05,36.5,334,27
0.05,36.550000000000004,347,28
0.05,36.6,348,25
0.05,36.65,350,29
0.05,36.7,318,25
0.05,36.75,333,15
0.05,36.800000000000004,330,34
0.05,36.85,319,41
0.05,36.9,327,46
0.05,36.95,312,25
0.05,37.0,318,26
0.05,37.050000000000004,324,14
0.05,37.1,322,22
0.05,37.15,327,32
0.05,37.2,316,19
0.05,37.25,315,27
0.05,37.300000000000004,333,25
0.05,37.35,328,31
0.05,37.4,307,25
0.05,37.45,328,20
0.05,37.5,347,3
0.05,37.550000000000004,339,12
0.05,37.6,337,16
0.05,37.65,357,25
0.05,37.7,353,24
0.05,37.75,349,25
0.05,37.800000000000004,364,17
0.05,37.85,359,19
0.05,37.9,373,29
0.05,37.95,374,17
0.05,38.0,351,1
0.05,38.050000000000004,363,4
0.05,38.1,353,2
0.05,38.15,375,3
0.05,38.2,351,2
0.05,38.25,359,5
0.05,38.300000000000004,354,4
0.05,38.35,361,2
0.05,38.400000000000006,352,4
0.05,38.45,357,7
0.05,38.5,368,8
0.05,38.550000000000004,350,4
0.05,38.6,345,4
0.05,38.650000000000006,359,4
0.05,38.7,336,8
0.05,38.75,351,8
0.05,38.800000000000004,349,9
0.05,38.85,351,4
0.05,38.900000000000006,348,14
0.05,38.95,375,8
0.05,39.0,363,0
0.05,39.050000000000004,349,3
0.05,39.1,365,2
0.05,39.150000000000006,368,2
0.05,39.2,361,0
0.05,39.25,356,3
0.05,39.300000000000004,349,4
0.05,39.35,359,1
0.05,39.400000000000006,353,2
0.05,39.45,357,0
0.05,39.5,368,4
0.05,39.550000000000004,331,5
0.05,39.6,339,2
0.05,39.650000000000006,338,5
0.05,39.7,321,7
0.05,39.75,331,5
0.05,39.800000000000004,342,1
0.05,39.85,343,2
0.05,39.900000000000006,350,3
0.05,39.95,348,2
0.05,40.0,337,4
0.05,40.050000000000004,355,0
0.05,40.1,327,6
0.05,40.150000000000006,352,1
0.05,40.2,334,3
0.05,40.25,331,4
0.05,40.300000000000004,335,11
0.05,40.35,330,25
0.05,40.400000000000006,345,32
0.05,40.45,321,28
0.05,40.5,327,10
0.05,40.550000000000004,346,7
0.05,40.6,330,12
0.05,40.650000000000006,337,15
0.05,40.7,334,43
0.05,40.75,351,55
0.05,40.800000000000004,356,45
0.05,40.85,343,41
0.05,40.900000000000006,348,42
0.05,40.95,342,22
0.05,41.0,346,35
0.05,41.050000000000004,348,52
0.05,41.1,336,41
0.05,41.150000000000006,359,61
0.05,41.2,355,77
0.05,41.25,364,78
0.05,41.300000000000004,357,75
0.05,41.35,357,39
0.05,41.400000000000006,353,51
0.05,41.45,344,70
0.05,41.5,346,60
0.05,41.550000000000004,350,54
0.05,41.6,359,51
0.05,41.650000000000006,350,77
0.05,41.7,328,110
0.05,41.75,346,125
0.05,41.800000000000004,328,119
0.05,41.85,332,125
0.05,41.900000000000006,323,88
0.05,41.95,317,69
0.05,42.0,299,51
0.05,42.050000000000004,298,61
0.05,42.1,309,92
0.05,42.150000000000006,313,101
0.05,42.2,297,105
0.05,42.25,295,108
0.05,42.300000000000004,283,58
0.05,42.35,283,112
0.05,42.400000000000006,283,67
0.05,42.45,278,50
0.05,42.5,277,42
0.05,42.550000000000004,285,37
0.05,42.6,287,51
0.05,42.650000000000006,300,43
0.05,42.7,307,57
0.05,42.75,323,83
0.05,42.800000000000004,348,49
0.05,42.85,354,40
0.05,42.900000000000006,365,51
0.05,42.95,377,52
0.05,43.0,352,49
0.05,43.050000000000004,360,47
0.05,43.1,374,60
0.05,43.150000000000006,360,41
0.05,43.2,368,45
0.05,43.25,391,58
0.05,43.300000000000004,377,32
0.05,43.35,380,51
0.05,43.400000000000006,375,71
0.05,43.45,365,62
0.05,43.5,381,40
0.05,43.550000000000004,366,61
0.05,43.6,378,55
0.05,43.650000000000006,385,65
0.05,43.7,358,71
0.05,43.75,354,74
0.05,43.800000000000004,348,81
0.05,43.85,361,89
0.05,43.900000000000006,355,85
0.05,43.95,342,72
0.05,44.0,341,57
0.05,44.050000000000004,338,79
0.05,44.1,336,97
0.05,44.150000000000006,335,130
0.05,44.2,323,147
0.05,44.25,330,174
0.05,44.300000000000004,341,149
0.05,44.35,329,283
0.05,44.400000000000006,372,314
0.05,44.45,385,476
0.05,44.5,387,467
0.05,44.550000000000004,268,0
0.05,44.6,267,0
0.05,44.650000000000006,284,0
0.05,44.7,360,171
0.05,44.75,388,231
0.05,44.800000000000004,394,162
0.05,44.85,403,180
0.05,44.900000000000006,389,143
0.05,44.95,390,135
0.05,45.0,315,75
0.05,45.050000000000004,271,1
0.05,45.1,270,0
0.05,45.150000000000006,266,1
0.05,45.2,298,18
0.05,45.25,348,22
0.05,45.300000000000004,323,10
0.05,45.35,148,18
0.1,0.0,408,485
0.1,0.1,334,699
0.1,0.2,347,492
0.1,0.30000000000000004,305,340
0.1,0.4,266,291
0.1,0.5,253,207
0.1,0.6000000000000001,198,117
0.1,0.7000000000000001,19,0
0.1,0.8,18,0
0.1,0.9,25,205
0.1,1.0,164,244
0.1,1.1,74,59
0.1,1.2000000000000002,90,5
0.1,1.3,21,1
0.1,1.4000000000000001,10,0
0.1,1.5,0,0
0.1,1.6,6,0
0.1,1.7000000000000002,153,247
0.1,1.8,266,232
0.1,1.9000000000000001,284,274
0.1,2.0,347,243
0.1,2.1,325,183
0.1,2.2,343,154
0.1,2.3000000000000003,337,118
0.1,2.4000000000000004,336,108
0.1,2.5,339,123
0.1,2.6,336,131
0.1,2.7,304,159
0.1,2.8000000000000003,329,178
0.1,2.9000000000000004,325,197
0.1,3.0,314,191
0.1,3.1,330,195
0.1,3.2,309,207
0.1,3.3000000000000003,310,219
0.1,3.4000000000000004,297,207
0.1,3.5,301,206
0.1,3.6,292,227
0.1,3.7,299,235
0.1,3.8000000000000003,277,204
0.1,3.9000000000000004,300,213
0.1,4.0,278,215
0.1,4.1000000000000005,287,226
0.1,4.2,276,212
0.1,4.3,253,224
0.1,4.4,252,218
0.1,4.5,251,231
0.1,4.6000000000000005,271,207
0.1,4.7,261,228
0.1,4.800000000000001,272,214
0.1,4.9,280,217
0.1,5.0,278,221
0.1,5.1000000000000005,307,213
0.1,5.2,301,233
0.1,5.300000000000001,304,200
0.1,5.4,298,213
0.1,5.5,298,209
0.1,5.6000000000000005,314,220
0.1,5.7,307,246
0.1,5.800000000000001,316,223
0.1,5.9,312,207
0.1,6.0,324,224
0.1,6.1000000000000005,311,220
0.1,6.2,333,227
0.1,6.300000000000001,349,219
0.1,6.4,318,208
0.1,6.5,330,216
0.1,6.6000000000000005,345,201
0.1,6.7,354,198
0.1,6.800000000000001,372,216
0.1,6.9,355,221
0.1,7.0,366,224
0.1,7.1000000000000005,373,226
0.1,7.2,373,234
0.1,7.300000000000001,380,220
0.1,7.4,377,223
0.1,7.5,396,220
0.1,7.6000000000000005,386,244
0.1,7.7,389,236
0.1,7.800000000000001,393,243
0.1,7.9,383,223
0.1,8.0,392,219
0.1,8.1,393,199
0.1,8.200000000000001,392,218
0.1,8.3,404,179
0.1,8.4,407,202
0.1,8.5,414,178
0.1,8.6,402,179
0.1,8.700000000000001,419,164
0.1,8.8,408,185
0.1,8.9,423,173
0.1,9.0,413,209
0.1,9.1,395,189
0.1,9.200000000000001,395,186
0.1,9.3,380,214
0.1,9.4,397,191
0.1,9.5,382,194
0.1,9.600000000000001,383,184
0.1,9.700000000000001,402,199
0.1,9.8,404,191
0.1,9.9,404,165
0.1,10.0,402,188
0.1,10.100000000000001,413,172
0.1,10.200000000000001,392,169
0.1,10.3,402,175
0.1,10.4,416,159
0.1,10.5,416,165
0.1,10.600000000000001,411,173
0.1,10.700000000000001,429,166
0.1,10.8,432,150
0.1,10.9,422,157
0.1,11.0,423,148
0.1,11.100000000000001,422,162
0.1,11.200000000000001,435,150
0.1,11.3,446,156
0.1,11.4,426,153
0.1,11.5,422,157
0.1,11.600000000000001,440,167
0.1,11.700000000000001,415,173
0.1,11.8,436,157
0.1,11.9,424,174
0.1,12.0,448,154
0.1,12.100000000000001,432,166
0.1,12.200000000000001,427,149
0.1,12.3,441,161
0.1,12.4,424,158
0.1,12.5,444,148
0.1,12.600000000000001,452,142
